id,record_type,family,genus,species,is_described,taxon_status,accepted_name,authority,gbif_id,trade_name,locality,morph_name,parent_id,conglobation
armadillidium-vulgare,form,Armadillidiidae,Armadillidium,vulgare,True,accepted,,"(Latreille, 1804)",2203611,,,,,FULL
armadillidium-vulgare--magic-potion,morph,Armadillidiidae,Armadillidium,vulgare,True,inherit,,,2203611,,,Magic Potion,armadillidium-vulgare,FULL
armadillidium-vulgare--punto-rojo,morph,Armadillidiidae,Armadillidium,vulgare,True,inherit,,,2203611,,,Punto Rojo,armadillidium-vulgare,FULL
armadillidium-vulgare--orange-vigor,morph,Armadillidiidae,Armadillidium,vulgare,True,inherit,,,2203611,,,Orange Vigor,armadillidium-vulgare,FULL
armadillidium-vulgare--st-lucia,morph,Armadillidiidae,Armadillidium,vulgare,True,inherit,,,2203611,,,St. Lucia,armadillidium-vulgare,FULL
armadillidium-vulgare--high-white,morph,Armadillidiidae,Armadillidium,vulgare,True,inherit,,,2203611,,,High White,armadillidium-vulgare,FULL
armadillidium-maculatum,form,Armadillidiidae,Armadillidium,maculatum,True,accepted,,"(Risso, 1816)",2203614,,,,,FULL
armadillidium-klugii,form,Armadillidiidae,Armadillidium,klugii,True,accepted,,"Brandt, 1833",2203775,,,,,FULL
armadillidium-gestroi,form,Armadillidiidae,Armadillidium,gestroi,True,accepted,,"Tua, 1900",2203795,,,,,FULL
armadillidium-granulatum,form,Armadillidiidae,Armadillidium,granulatum,True,accepted,,"Brandt, 1833",2203769,,,,,FULL
armadillidium-werneri,form,Armadillidiidae,Armadillidium,werneri,True,accepted,,"Strouhal, 1927",2203862,,,,,FULL
armadillidium-peraccae,form,Armadillidiidae,Armadillidium,peraccae,True,accepted,,"Tua, 1900",2203760,,,,,FULL
armadillidium-depressum,form,Armadillidiidae,Armadillidium,depressum,True,accepted,,"Brandt, 1833",2203804,,,,,FULL
armadillidium-badium,form,Armadillidiidae,Armadillidium,badium,True,accepted,,"Budde-Lund, 1885",2203648,,,,,FULL
armadillidium-nasatum,form,Armadillidiidae,Armadillidium,nasatum,True,accepted,,"Budde-Lund, 1885",2203739,,,,,FULL
armadillidium-nasatum--peach,morph,Armadillidiidae,Armadillidium,nasatum,True,inherit,,,2203739,,,Peach,armadillidium-nasatum,FULL
armadillidium-espanyoli,form,Armadillidiidae,Armadillidium,espanyoli,True,accepted,,"Cruz, 1990",2203738,,,,,FULL
armadillidium-espanyoli--marbleize,morph,Armadillidiidae,Armadillidium,espanyoli,True,inherit,,,2203738,,,Marbleize,armadillidium-espanyoli,FULL
armadillidium-arcangelii,form,Armadillidiidae,Armadillidium,arcangelii,True,accepted,,"Strouhal, 1929",2203734,,,,,FULL
armadillidium-frontirostre,form,Armadillidiidae,Armadillidium,frontirostre,True,synonym,Armadillidium pallasii,"Budde-Lund, 1885",2203629,,,,,FULL
armadillidium-pictum,form,Armadillidiidae,Armadillidium,pictum,True,accepted,,"Brandt, 1833",2203750,,,,,FULL
armadillidium-versicolor,form,Armadillidiidae,Armadillidium,versicolor,True,accepted,,"Stein, 1859",2203641,,,,,FULL
armadillidium-decorum,form,Armadillidiidae,Armadillidium,decorum,True,accepted,,"Brandt, 1833",2203836,,,,,FULL
armadillidium-album,form,Armadillidiidae,Armadillidium,album,True,accepted,,"Dollfus, 1887",2203834,,,,,FULL
cristarmadillidium-muricatum,form,Armadillidiidae,Cristarmadillidium,muricatum,True,accepted,,"(Budde-Lund, 1885)",2203545,,,,,FULL
cristarmadillidium-muricatum--pinecone-spiny,morph,Armadillidiidae,Cristarmadillidium,muricatum,True,inherit,,,2203545,,,Pinecone / Spiny,cristarmadillidium-muricatum,FULL
paxodillidium-schmalfussi,form,Armadillidiidae,Paxodillidium,schmalfussi,True,unmatched,,,,,,,,FULL
schizidium-tiberianum,form,Armadillidiidae,Schizidium,tiberianum,True,accepted,,"Verhoeff, 1923",2203582,,,,,FULL
schizidium-hybridum,form,Armadillidiidae,Schizidium,hybridum,True,accepted,,"(Budde-Lund, 1896)",2203586,,,,,FULL
eluma-caelata,form,Armadillidiidae,Eluma,caelata,True,accepted,,"(Miers, 1878)",5176082,,,,,FULL
cubaris-murina,form,Armadillidae,Cubaris,murina,True,accepted,,"Brandt, 1833",5175817,,,,,FULL
cubaris-sp-rubber-ducky,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Rubber Ducky,,,,FULL
cubaris-sp-panda-king,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Panda King,,,,FULL
cubaris-sp-pak-chong,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Pak Chong,,,,FULL
cubaris-sp-jupiter,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Jupiter,,,,FULL
cubaris-sp-cappuccino,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Cappuccino,,,,FULL
cubaris-sp-amber-firefly,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Amber Firefly,,,,FULL
cubaris-sp-penguin,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Penguin,,,,FULL
cubaris-sp-blue-pigeon,form,Armadillidae,Cubaris,sp.,False,provisional,,,,Blue Pigeon,,,,FULL
armadillo-officinalis,form,Armadillidae,Armadillo,officinalis,True,accepted,,"Duméril, 1816",2202347,,,,,FULL
armadillo-tuberculatus,form,Armadillidae,Armadillo,tuberculatus,True,accepted,,"Vogl, 1876",2202329,,,,,FULL
troglodillo-rotundatus,form,Armadillidae,Troglodillo,rotundatus,True,accepted,,"Kwon & Taiti, 1993",2202140,,,,,FULL
troglodillo-sp-soil,form,Armadillidae,Troglodillo,sp.,False,provisional,,,,Soil,,,,FULL
troglodillo-sp-green-spots,form,Armadillidae,Troglodillo,sp.,False,provisional,,,,Green Spots,,,,FULL
venezillo-parvus,form,Armadillidae,Venezillo,parvus,True,accepted,,"(Budde-Lund, 1885)",2202566,,,,,FULL
venezillo-arizonicus,form,Armadillidae,Venezillo,arizonicus,True,accepted,,"(Mulaik & Mulaik, 1942)",2202413,,,,,FULL
venezillo-sp-tank,form,Armadillidae,Venezillo,sp.,False,provisional,,,,Tank,,,,FULL
venezillo-sp-maya,form,Armadillidae,Venezillo,sp.,False,provisional,,,,Maya,,,,FULL
nesodillo-arcangelii,form,Armadillidae,Nesodillo,arcangelii,True,accepted,,"Verhoeff, 1928",2202080,,,,,FULL
nesodillo-arcangelii--shiro-utsuri,morph,Armadillidae,Nesodillo,arcangelii,True,inherit,,,2202080,,,Shiro Utsuri,nesodillo-arcangelii,FULL
merulanella-bicolorata,form,Armadillidae,Merulanella,bicolorata,True,accepted,,"(Budde-Lund, 1895)",9206897,,,,,FULL
merulanella-sp-yellow-panda,form,Armadillidae,Merulanella,sp.,False,provisional,,,,Yellow Panda,,,,FULL
merulanella-sp-ember-bee,form,Armadillidae,Merulanella,sp.,False,provisional,,,,Ember Bee,,,,FULL
merulanella-sp-scarlet,form,Armadillidae,Merulanella,sp.,False,provisional,,,,Scarlet,,,,FULL
merulanella-sp-red-diablo,form,Armadillidae,Merulanella,sp.,False,provisional,,,,Red Diablo,,,,FULL
merulanella-sp-tricolor,form,Armadillidae,Merulanella,sp.,False,provisional,,,,Tricolor,,,,FULL
dryadillo-sp-feather,form,Armadillidae,Dryadillo,sp.,False,provisional,,,,Feather,,,,FULL
filipinodillo-sp,form,Armadillidae,Filipinodillo,sp.,False,provisional,,,,,,,,FULL
laureola-sp-arboreal-spiny,form,Armadillidae,Laureola,sp.,False,provisional,,,,Arboreal Spiny,,,,FULL
reductoniscus-costulatus,form,Armadillidae,Reductoniscus,costulatus,True,accepted,,"Kesselyak, 1930",2202641,,,,,FULL
spherillo-danae,form,Armadillidae,Spherillo,danae,True,accepted,,"Heller, 1865",2202250,,,,,FULL
tuberillo-sp-spiny-hedgehog,form,Armadillidae,Tuberillo,sp.,False,provisional,,,,Spiny Hedgehog,,,,FULL
tuberillo-sp-bumpy,form,Armadillidae,Tuberillo,sp.,False,provisional,,,,Bumpy,,,,FULL
adinda-sp-grizzly-bear,form,Scleropactidae,Adinda,sp.,False,provisional,,,,Grizzly Bear,,,,FULL
pseudarmadillo-spinosus,form,Delatorreiidae,Pseudarmadillo,spinosus,True,accepted,,"De Armas & Juarrero de Varona, 1999",2204269,,,,,FULL
pseudarmadillo-spinosus--caribbean-armored,morph,Delatorreiidae,Pseudarmadillo,spinosus,True,inherit,,,2204269,,,Caribbean Armored,pseudarmadillo-spinosus,FULL
porcellio-scaber,form,Porcellionidae,Porcellio,scaber,True,accepted,,"Latreille, 1804",6284337,,,,,NONE
porcellio-scaber--dalmatian,morph,Porcellionidae,Porcellio,scaber,True,inherit,,,6284337,,,Dalmatian,porcellio-scaber,NONE
